Date,Price,Open,High,Low,Vol.,Change %
10/5/2023,13800,14600,14800,13800,17.08M,-5.48%
10/4/2023,14600,13900,14900,13900,17.27M,1.74%
10/3/2023,14350,15150,15400,14350,29.96M,-6.82%
10/2/2023,15400,15600,15850,15300,14.01M,-1.28%
09/29/2023,15600,16000,16150,15550,13.60M,-0.95%
09/28/2023,15750,15500,16050,15300,20.77M,1.61%
09/27/2023,15500,15250,15500,14500,30.50M,2.31%
09/26/2023,15150,15800,16500,15150,33.77M,-6.48%
09/25/2023,16200,17200,17600,16200,28.12M,-6.90%
09/22/2023,17400,17700,17800,16950,36.48M,-4.40%
09/21/2023,18200,18750,19150,18000,30.13M,-1.62%
09/20/2023,18500,17200,18500,16600,40.16M,6.94%
09/19/2023,17300,18250,18450,17050,54.72M,-4.68%
09/18/2023,18150,18900,18900,18050,28.32M,-3.97%
09/15/2023,18900,19000,19250,18650,26.73M,1.07%
09/14/2023,18700,19600,19800,18600,76.98M,-6.27%
09/13/2023,19950,21000,21100,19500,77.13M,-4.77%
9/12/2023,20950,20150,20950,19650,57.21M,2.20%
9/11/2023,20500,22050,22200,20500,71.69M,-6.82%
9/8/2023,22000,21600,22250,21400,52.61M,1.85%
9/7/2023,21600,22000,22150,21500,44.46M,-0.92%
9/6/2023,21800,21300,21800,21000,46.22M,1.87%
9/5/2023,21400,20900,21700,20800,53.91M,4.65%
08/31/2023,20450,20100,20500,20000,36.64M,2.00%
08/30/2023,20050,20500,20600,19500,67.19M,-1.47%
08/29/2023,20350,20200,21050,20100,40.37M,1.75%
08/28/2023,20000,19600,20100,19350,33.67M,3.09%
08/25/2023,19400,19800,20000,19300,33.52M,-2.02%
08/24/2023,19800,18800,19950,18550,40.90M,5.88%
08/23/2023,18700,18800,19250,18550,29.60M,1.08%
08/22/2023,18500,18550,18900,17300,45.88M,0.00%
08/21/2023,18500,18800,19100,18050,46.79M,-3.90%
08/18/2023,19250,20450,20500,19250,73.13M,-6.78%
08/17/2023,20650,20500,21150,20500,40.74M,0.00%
08/16/2023,20650,20650,20900,20300,40.99M,-0.48%
08/15/2023,20750,21300,21400,20600,49.32M,-2.35%
08/14/2023,21250,21200,21700,21050,44.64M,1.67%
8/11/2023,20900,20850,20950,20050,39.74M,1.46%
8/10/2023,20600,19900,21100,19900,61.80M,3.52%
8/9/2023,19900,20050,20300,19750,44.74M,-2.21%
8/8/2023,20350,20500,20700,20050,44.21M,0.74%
8/7/2023,20200,20300,20700,19800,44.45M,2.02%
8/4/2023,19800,19550,19800,19050,79.62M,6.74%
8/3/2023,18550,18350,18600,18050,42.86M,1.09%
8/2/2023,18350,17750,18500,17700,43.28M,3.09%
8/1/2023,17800,18850,18900,17800,53.14M,-5.57%
07/31/2023,18850,18150,18850,17700,56.59M,2.72%
07/28/2023,18350,17850,18900,17650,70.87M,2.80%
07/27/2023,17850,17300,18150,17200,71.12M,3.78%
07/26/2023,17200,16250,17200,16050,73.23M,6.17%
07/25/2023,16200,16500,16900,16050,42.47M,0.00%
07/24/2023,16200,15400,16200,15400,95.94M,6.93%
07/21/2023,15150,14800,15200,14700,34.69M,2.36%
07/20/2023,14800,14700,14900,14600,16.99M,0.68%
07/19/2023,14700,15100,15200,14650,34.69M,-2.33%
