Date,Price,Open,High,Low,Vol.,Change %
09/13/2023,37900,38500,38900,37500,2.72M,-1.04%
9/12/2023,38300,37400,38300,36900,3.31M,2.41%
9/11/2023,37400,39500,39800,37400,4.48M,-4.83%
9/8/2023,39300,39700,39750,39300,2.33M,-0.88%
9/7/2023,39650,39500,40750,39500,4.84M,1.02%
9/6/2023,39250,39000,39350,38450,2.38M,0.64%
9/5/2023,39000,39050,39150,38450,2.58M,0.26%
08/31/2023,38900,38900,39300,38750,2.72M,1.30%
08/30/2023,38400,38000,38450,37600,2.54M,1.86%
08/29/2023,37700,37800,38400,37500,2.17M,0.27%
08/28/2023,37600,37500,38050,37200,2.46M,1.62%
08/25/2023,37000,37200,37450,36350,2.31M,0.00%
08/24/2023,37000,34850,37150,34800,3.12M,6.47%
08/23/2023,34750,36200,36200,34750,2.60M,-2.11%
08/22/2023,35500,36500,36500,34500,1.72M,-1.39%
08/21/2023,36000,35500,37000,34550,3.03M,0.56%
08/18/2023,35800,38000,38200,35800,5.53M,-6.89%
08/17/2023,38450,39000,39600,38450,3.64M,-0.26%
08/16/2023,38550,38700,38700,38050,1.72M,0.13%
08/15/2023,38500,38850,39200,38350,2.18M,-0.77%
08/14/2023,38800,39150,39500,38750,3.18M,0.26%
8/11/2023,38700,37750,38700,37150,2.71M,2.38%
8/10/2023,37800,38450,39000,37800,2.67M,-1.69%
8/9/2023,38450,38500,38800,38050,2.05M,0.26%
8/8/2023,38350,39100,39300,38350,3.06M,-2.17%
8/7/2023,39200,39850,39850,38900,2.98M,-2.00%
8/4/2023,40000,38800,40000,38550,6.55M,4.17%
8/3/2023,38400,38250,38950,38050,3.10M,-0.39%
8/2/2023,38550,38200,38600,37650,2.47M,1.18%
8/1/2023,38100,39950,39950,38100,4.62M,-4.75%
07/31/2023,40000,39000,40000,37850,4.05M,2.04%
07/28/2023,39200,39050,39700,38500,3.58M,0.38%
07/27/2023,39050,38150,39100,37900,6.38M,2.36%
07/26/2023,38150,37300,38350,36900,6.46M,2.55%
07/25/2023,37200,37500,37600,36900,4.20M,-0.93%
07/24/2023,37550,38450,38500,37500,4.73M,-1.31%
07/21/2023,38050,37800,38500,37100,4.42M,1.47%
07/20/2023,37500,36950,37900,36650,2.71M,0.27%
07/19/2023,37400,37800,37950,36800,3.55M,-1.06%
07/18/2023,37800,36200,38350,36200,4.42M,3.56%
07/17/2023,36500,36600,37000,36100,3.73M,-1.08%
07/14/2023,36900,34800,36900,34700,6.92M,6.49%
07/13/2023,34650,32500,34650,32400,8.13M,6.94%
7/12/2023,32400,32650,32650,32100,2.18M,0.31%
7/11/2023,32300,32400,32700,32200,2.52M,1.25%
7/10/2023,31900,31950,32650,31850,3.16M,-0.16%
7/7/2023,31950,32550,32700,31650,4.24M,-1.69%
7/6/2023,32500,33600,33600,32500,2.78M,-3.42%
7/5/2023,33650,33200,33850,32900,3.28M,1.97%
7/4/2023,33000,32500,33000,31900,4.01M,1.54%
7/3/2023,32500,33050,33050,32500,1.01M,-1.52%
06/30/2023,33000,33100,33150,32250,2.56M,-0.15%
06/29/2023,33050,33850,33850,32950,3.10M,-2.36%
06/28/2023,33850,33700,34200,33200,4.26M,-0.15%
06/27/2023,33900,34400,34400,33750,1.34M,-0.29%
06/26/2023,34000,34000,34400,33400,2.80M,-0.15%
06/23/2023,34050,35000,35000,33900,3.51M,-2.44%
06/22/2023,34900,35000,35300,34500,2.82M,-0.14%
06/21/2023,34950,34950,35100,34550,2.23M,0.00%
06/20/2023,34950,34400,35200,34000,2.65M,1.75%
06/19/2023,34350,34200,34500,33500,1.99M,0.59%
06/16/2023,34150,34800,35800,34100,4.54M,-0.73%
06/15/2023,34400,34050,34800,34050,3.32M,1.03%
06/14/2023,34050,33600,34950,33350,5.18M,1.64%
06/13/2023,33500,33000,33650,32450,3.82M,1.52%
6/12/2023,33000,33000,33100,31950,1.90M,0.00%
6/9/2023,33000,32400,33000,31550,2.93M,1.85%
6/8/2023,32400,33700,33700,32400,3.57M,-3.28%
6/7/2023,33500,32700,33500,32650,5.30M,3.24%
6/6/2023,32450,31850,32450,31600,1.79M,1.88%
6/5/2023,31850,32500,32700,31550,2.78M,-1.85%
6/2/2023,32450,32950,32950,32250,2.15M,-0.15%
6/1/2023,32500,31900,32600,31900,1.84M,1.56%
05/31/2023,32000,32100,32650,32000,2.44M,-0.93%
05/30/2023,32300,32500,32800,32050,2.02M,0.62%
05/29/2023,32100,32000,32500,31900,1.00M,0.31%
05/26/2023,32000,31300,32300,31300,1.65M,2.24%
05/25/2023,31300,31950,32000,31200,2.32M,-2.64%
05/24/2023,32150,32800,33100,32150,2.24M,-1.38%
05/23/2023,32600,33100,33200,32600,1.46M,-2.10%
05/22/2023,33300,31950,33300,31800,1.65M,4.06%
05/19/2023,32000,32200,32200,31600,982.80K,0.63%
05/18/2023,31800,31700,32450,31150,1.55M,0.47%
05/17/2023,31650,33000,33050,31500,3.76M,-4.52%
05/16/2023,33150,32800,33500,32600,1.34M,1.07%
05/15/2023,32800,34400,34400,32800,2.06M,-3.10%
5/12/2023,33850,33250,33850,33050,2.10M,1.50%
5/11/2023,33350,34000,34400,33350,2.39M,-1.48%
5/10/2023,33850,33500,34200,33300,1.99M,2.58%
5/9/2023,33000,33800,33900,32850,2.59M,-2.37%
