Date,Price,Open,High,Low,Vol.,Change %
6/5/2023,53700,54000,55100,53300,1.43M,0.56%
6/2/2023,53400,53500,53900,53000,1.36M,0.75%
6/1/2023,53000,53500,54000,53000,913.70K,-0.93%
05/31/2023,53500,55000,55000,53500,1.54M,-2.55%
05/30/2023,54900,56000,56000,54600,1.39M,-1.08%
05/29/2023,55500,55000,56300,55000,1.61M,0.91%
05/26/2023,55000,55000,56400,54600,1.79M,0.00%
05/25/2023,55000,54700,55600,54000,1.61M,0.92%
05/24/2023,54500,53700,54500,53300,848.90K,1.49%
05/23/2023,53700,54500,54500,53000,1.16M,-0.74%
05/22/2023,54100,55000,55000,53500,1.65M,0.00%
05/19/2023,54100,55500,55500,53500,1.84M,-1.64%
05/18/2023,55000,53900,55800,53500,3.53M,3.00%
05/17/2023,53400,52200,53900,52200,3.11M,2.30%
05/16/2023,52200,51700,52200,51500,1.50M,0.97%
05/15/2023,51700,52000,52500,51500,1.70M,0.98%
5/12/2023,51200,49100,51200,48900,1.44M,4.17%
5/11/2023,49150,49500,49500,48950,523.90K,-0.41%
5/10/2023,49350,49300,49400,48900,518.80K,0.10%
5/9/2023,49300,49050,49500,48750,1.27M,-0.20%
5/8/2023,49400,48850,49550,48600,1.06M,0.82%
5/5/2023,49000,49150,49500,48600,793.20K,-1.01%
5/4/2023,49500,49500,49500,48200,1.31M,0.00%
04/28/2023,49500,47700,49500,47400,1.14M,4.21%
04/27/2023,47500,48000,48700,46850,2.65M,-1.04%
04/26/2023,48000,49900,49900,48000,2.28M,-4.38%
04/25/2023,50200,51200,51200,49850,2.14M,-0.59%
04/24/2023,50500,50800,52000,50200,1.34M,0.40%
04/21/2023,50300,50500,50700,49900,734.70K,-0.79%
04/20/2023,50700,50500,50700,49850,483.60K,0.60%
04/19/2023,50400,50800,51200,50000,973.10K,-0.79%
04/18/2023,50800,50900,51300,50500,1.76M,0.99%
04/17/2023,50300,50100,50900,50000,1.03M,0.60%
04/14/2023,50000,50700,51500,49700,1.32M,-0.99%
04/13/2023,50500,51600,51700,50300,1.34M,-2.13%
4/12/2023,51600,51900,52100,51000,2.03M,0.19%
4/11/2023,51500,49300,51700,49300,2.08M,3.41%
4/10/2023,49800,51400,51500,49800,1.33M,-1.78%
4/7/2023,50700,51200,51500,50300,779.80K,-0.98%
4/6/2023,51200,52000,52200,51200,1.03M,-1.92%
4/5/2023,52200,51000,52300,50600,2.19M,2.35%
4/4/2023,51000,53000,53000,51000,1.52M,-3.04%
4/3/2023,52600,52200,53700,52000,2.84M,2.14%
03/31/2023,51500,49600,51500,49600,2.72M,3.94%
03/30/2023,49550,48800,49950,48100,1.68M,3.23%
03/29/2023,48000,48050,48050,47100,1.25M,0.00%
03/28/2023,48000,48450,49500,47000,2.55M,-0.83%
03/27/2023,48400,49000,49500,48400,1.87M,-1.22%
03/24/2023,49000,48000,49850,48000,2.61M,2.08%
03/23/2023,48000,47400,48000,46850,2.27M,0.73%
03/22/2023,47650,45600,48000,45600,4.39M,4.96%
03/21/2023,45400,43000,45500,43000,2.54M,6.70%
03/20/2023,42550,44100,44100,42550,2.17M,-1.85%
03/17/2023,43350,44600,45200,43350,4.94M,-2.58%
03/16/2023,44500,45800,45800,44250,2.04M,-3.26%
03/15/2023,46000,45250,46600,44950,2.07M,2.79%
03/14/2023,44750,44200,45350,44100,2.84M,0.00%
03/13/2023,44750,42800,44800,42750,3.23M,4.43%
3/10/2023,42850,42400,43000,42000,2.54M,1.06%
3/9/2023,42400,42350,43000,42250,1.78M,0.12%
3/8/2023,42350,41300,42350,41300,1.95M,0.12%
3/7/2023,42300,42700,43000,42100,1.67M,0.48%
3/6/2023,42100,41750,43200,41500,3.00M,2.81%
3/3/2023,40950,41000,41200,40550,1.39M,-0.36%
3/2/2023,41100,41000,41500,40450,1.95M,-0.24%
3/1/2023,41200,41050,41300,39800,3.33M,-0.72%
02/28/2023,41500,41000,41950,40400,1.63M,1.47%
02/27/2023,40900,40000,40900,39400,5.33M,-0.24%
02/24/2023,41000,41700,42000,40900,3.01M,-2.38%
02/23/2023,42000,42600,42850,40600,4.59M,-1.41%
02/22/2023,42600,44600,44800,42600,3.71M,-5.75%
02/21/2023,45200,45500,46150,45100,1.57M,0.00%
02/20/2023,45200,43500,46300,43400,4.18M,4.39%
02/17/2023,43300,42700,43600,42500,2.06M,1.88%
02/16/2023,42500,42750,42750,42000,2.37M,0.00%
02/15/2023,42500,42700,42700,41600,4.29M,-0.58%
02/14/2023,42750,44000,44200,42200,3.88M,-3.72%
02/13/2023,44400,44800,45000,43400,2.47M,-2.20%
2/10/2023,45400,45000,45750,45000,1.60M,0.22%
2/9/2023,45300,45650,46700,45300,3.12M,-2.79%
2/8/2023,46600,46700,46700,44450,4.74M,-0.43%
2/7/2023,46800,48000,48000,46050,2.54M,-2.40%
2/6/2023,47950,47900,48000,47100,1.69M,-0.31%
2/3/2023,48100,48000,48500,47500,1.25M,0.42%
2/2/2023,47900,48500,49200,47700,2.16M,-0.21%
2/1/2023,48000,50700,50900,48000,3.65M,-5.70%
